Name,Country,Years active,Proven victims,Possible victims,Notes
Vladimir Kuzmin,Russia,1997,7,11,"Raped, murdered and robbed mostly young boys and men in Moscow; assisted in his first two murders by Denis Kalistratov; sentenced to life imprisonment.[274]"
Tommy Recco,France,1960–1980,7,10,"Murdered his godfather in 1960; after release, killed six cashiers in two separate store raids; also suspected of murdering a trio of German tourists.[275]"
Derrick Todd Lee,United States,2002,7,10,"Known as the ""Baton Rouge or South Louisiana Serial Killer"" convicted of three murders. Believed to have murdered several other women in Louisiana, Mississippi and Alabama. Sentenced to death, died in 2016.[276]"
Tomás Maldonado Cera,Colombia,2002–2018,7,10,"Known as ""The Satanist""; killed people in Barranquila for the purpose of satanic rituals.[277]"
Peter Manuel,United Kingdom,1956-1958,7,9,"Hanged in 1958 after being convicted of seven murders at a sensational trial in Glasgow, may have committed two more."
Paul Durousseau,United States,1997–2003,7,7+,A former soldier who strangled several women between the ages of 17 and 26 in the southeastern United States. He had the moniker of the Jacksonville Ripper and had the reputation of being a lewd womanizer.
Todd Kohlhepp,United States,2003–2016,7,7+,"A registered sex offender; Shot up a motorcycle shop in 2003, killing 4; killed 3 more victims in 2015 and 2016; is currently serving 7 life sentences for the crimes.[278]"
Aileen Wuornos,United States,1989–1990,7,7,Sex worker that shot her victims at point blank range.[279] Executed in 2002.
Hu Daoping,China,2003–2005,7,7,"Career criminal who, following a jail escape in 1998, killed seven people during robberies.[280]"
Nikos Metaxas,Cyprus,2016–2018,7,7,"A 35-year-old Cypriot Army officer who killed five women and two children between September 2016 and August 2018. These became known as the ""Mitsero murders."" Sentenced to 7 life sentences.[281][282]"
Tommy Lynn Sells,United States,1980–1999,6,22–70,Drifter active throughout the United States who specialized in killing children and multiple victims after breaking into their homes. Caught when a 10-year-old girl survived his attack and provided a description of him. Executed in 2014.[283]
Robert Pickton,Canada,1983–2002,6,49,Canadian serial killer convicted of murdering six women. Twenty further charges were stayed in 2010.[284] Reportedly claimed to have killed 49.[285]
Volker Eckert,East Germany  Germany  France  Spain  Czech Republic (suspected)  Italy (suspected),1974–2006,6,19+,"German trucker who confessed to having abducted, tortured and killed five prostitutes through his route in Western Europe, plus strangling a 14-year-old girl in his native West Germany in 1974, when he was 15. Police considered him perpetrator of nine murders (with four more being possible); he hanged himself in prison before being convicted."
Lorenzo Gilyard,United States,1977–1993,6,13+,"Known as ""The Kansas City Strangler"". Killed up to 13 prostitutes in the Kansas City area from 1977 to 1993. Sentenced to life in 2007.[286]"
Władysław Mazurkiewicz,Poland,1950s,6,30,"Known as ""The Gentleman Killer"". Indicted of, and confessed to having committed 30 murders; convicted of six and hanged in 1957.[287]"
Gong Runbo,China,2005–2006,6,20+,Found guilty of the murders of six children and teenagers aged between nine and 16 from 2005 to 2006; executed in 2007.[288]
The Doodler,United States,1974–1975,6,16,"Unidentified serial killer who sketched then stabbed to death 14 gay men in San Francisco. Surviving victims did not wish to testify, so the killer was not identified.[289]"
Cristopher Chávez Cuellar,Colombia,1990s–2015,6,15+,"Known as ""The Soulless""; killed between 6 and at least 15 people starting from the 1990s, including 4 underage brothers; sentenced to 40 years imprisonment.[290]"
András Pándy,Belgium,1986–1990,6,14+,"Former clergyman nicknamed ""Father Bluebeard"", killed his two wives and four of his children with the help of a fifth he was having an incestuous affair with, and whom denounced him to the authorities seven years later. Sentenced to life imprisonment in 2002.[291]"
John Wayne Glover,Australia,1989–1990,6,13,"British ex-pat living in Australia. Known by the media as ""The Granny Killer"" as he targeted elderly women; committed suicide while in prison in 2005.[292]"
Alexander Sergeychik,Belarus,2000–2006,6,12,Killed between six and 12 people under the influence of alcohol. Executed in 2007.[293]
Adrián Arroyo Gutiérrez,Costa Rica,2014–2015,6,11,"Known as ""The Southern Psychopath""; raped and strangled drug-addicted prostitutes in San José; sentenced to 110 years imprisonment.[294]"
Joseph Naso,United States,1977–1994,6,10,"A freelance photographers who raped and strangled to death women in California. Arrested in 2011 and sentenced to death two years later. Known as ""The Double Initial Killer"" since first four victims to be identified bore double initials.[295]"
Terry Peder Rasmussen,United States,1978–2002,6,6+,"Known as the ""Chameleon Killer""; main suspect in the Bear Brook murders, as well as other murders.[296]"
Juan Chavez,United States,1986–1990,6,6+,Murdered six men in Los Angeles County in what he claimed was a retaliation against the AIDS epidemic.[297]
David Berkowitz,United States,1976–1977,6,6,"Known as ""Son of Sam"", he went after young women and couples killing 6 people and wounding 7 others with a .44 caliber Bulldog revolver. He was caught when an eyewitness to his last murder saw he had a parking ticket on his car. He was sentenced to life in prison with parole in 1978.[298]"
Richard Chase,United States,1977–1978,6,6,"Known as ""The Vampire of Sacramento"" because he drank his victims' blood and cannibalized their remains. He killed six people in the span of a month in Sacramento, California.[299] The 1987 film Rampage was loosely based on based on Chase's crimes.[300]"
Michael Terry,United States,1985–1986,6,6,"Murdered six men in Atlanta, Georgia in a 10-month period, via stabbing or shooting. Sentenced to life imprisonment in 1988.[301]"
Lázaro Barbosa de Sousa,Brazil,2006–2021,6,6,Convicted of a double murder in 2007; later escaped from prison and murdered a family of 4 before dying in a shootout with the police.[302]
Zodiac Killer,United States,1968–1969,5,37,Targeted young couples. Remains unsolved but open in the California jurisdictions where the five certain Zodiac murders occurred. Potentially 37 total victims claimed but unverified.[303]
Carl Panzram,United States  Portuguese Angola,1915–1929,5,22,"From 1920 to 1928, he claimed in a posthumous autobiography to have committed over 22 killings, and sodomy of more than 1000 young men. Executed in 1930 by hanging.[304]"
Steve Wright,United Kingdom,2006,5,22,"Referred to as ""Suffolk murders"", ""Ipswich murders"", ""Ipswich Ripper"", ""Suffolk Ripper"", ""Suffolk Strangler"", ""East Anglia Ripper"", ""Red Light Ripper"" and ""the Suffolkator"". Murdered five prostitutes, all of whom worked in Ipswich in 2006. There are possible links to previous East Anglia prostitute killings.[305][306]"
Stephen Akinmurele,United Kingdom,1995–1998,5,15,Nigerian man who killed himself after being charged for the murders of 5 elderly people in Blackpool and Isle of Man. He confessed to the murders. Links to 10 other unsolved murders in the areas were investigated by police.[307]
Joe Metheny,United States,1976–1996,5,13,"Butchered his victims, then served them at BBQs at his roadside stand; died in prison.[308]"
Michel Peiry,Switzerland  France  United States  Yugoslavia (suspected)  Italy (suspected),1981–1987,5,11,"Known as the ""Sadist of Romont""; Swiss soldier who sexually abused and murdered at least 5 hitchhikers in several countries; sentenced to life imprisonment.[309]"
Hubert Pilčík,Czechoslovakia,1948–1951,5,10+,"Made money smuggling people across the Czechoslovakia-Germany border, but killed most of his customers. Total number of his victims is unknown."
Willem van Eijk,Netherlands,1971–2001,5,8,"Dutch serial killer known as ""Het Beest van Harkstede"" (The Beast of Harkstede). All proven victims he killed were all prostitutes. Sentenced to 18 years imprisonment for his first two murders and killed 3 more after his release. Sentenced to life imprisonment in 2002 and died in 2019 in prison. Suspected of having killed 3 more prostitutes."
Thomas Dillon,United States,1989–1992,5,5+,Killed outdoorsmen in rural Ohio by sniping them from afar with a hunting rifle.
Marc Dutroux,Belgium,1995–1996,5,5+,Child molester who killed 4 of possibly 11 victims. He was also convicted for murdering one of his partners in crime.
Sek Kim Wah,Singapore,1983,5,5,"Sek Kim Wah, who was of Chinese Singaporean descent, was 19 years old when he killed five victims in two separate robbery cases, using raffia string to strangle them. Other methods employed were hitting their heads with a heavy object (like a wooden stool) and electrocution (which was unsuccessful). He robbed and killed a couple before abandoning their corpses at Seletar Reservoir on 30 June 1983 and then, on 23 July 1983, killed three more people at Andrew Road with an accomplice who did not take part in the killings. He was arrested and indicted for murder six days later and was sentenced to death on 14 August 1985; he lost an appeal and he was hanged on 9 December 1988.[310]"
Jerome Dennis,United States,1991–1992,5,5,Killed Newark women while on parole.[311]
Belize Ripper,Belize,1998–2000,5,5,The Belize Ripper was an unidentified Belizean serial killer who abducted and murdered five young girls in Belize City between 1998 and 2000.
Alexander Spesivtsev,Russia,1991–1996,4,82+,"Cannibal known as ""The Novokuznetsk Monster""; admitted to 19 murders, but 82 bloody sets of clothes were found in his home, along with jewels and photographs of possibly unidentified victims. Found insane and interned in a mental hospital. His mother was sentenced to 16 years in prison for luring Spesivtsev's victims to their home.[312]"
Charlie Brandt,United States,1971–2004,4,29,"Committed suicide by hanging after murdering his wife and niece. The latter was also decapitated and eviscerated in a manner strongly similar to 26 unsolved murders of women in Florida, starting in 1973, the year Brandt moved to the state. Brandt was later considered the culprit in one of these murders, due to his strong resemblance to a suspect who was filmed by a traffic camera near the place where one body was found. He could not be officially tied to the other crimes due to lack of evidence. Previously, when he was 13 years old in 1971, he attempted to murder his whole family with a gun, for no apparent reason. His mother (who was pregnant) died in this attack, but his father survived, and his sister escaped.[313]"
Robert Black,United Kingdom  Ireland (suspected)  West Germany (suspected)  Netherlands (suspected)  France (suspected),1981–1986,4,18+,"Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.[314]"
Max Gufler,Austria,1946–1958,4,18,"Poisoned and drowned four women, but suspected of killing 18 in total."
Ernesto Picchioni,Italy,1949 and earlier,4,16,Murdered people who approached his home; died of cardiac arrest in 1967.
Baekuni,Indonesia,1993–2010,4,14,"Pedophile who raped and killed young boys; initially sentenced to life imprisonment, but changed to the death sentence.[315]"
Igor Chernat,Soviet Union,1985–1986,4,13,"Known as the ""Evil Spirit of Kaukjarvi""; Ukrainian soldier who raped and killed women in Kamenka, selling their stolen items afterwards; executed 1987.[316]"
Ricky Lee Green,United States,1985–1986,4,12,Bisexual drifter who killed people he met in bars; his wife assisted in two of the murders; executed in 1997.[317]
Robert Hicks Murray,United Kingdom,1912 and earlier,4,11+,Bigamist who murdered his wife and three children in a murder-suicide; posthumously revealed to have killed previous wives as well.[318]
William Dean Christensen,United States  Canada,1982–1983,4,10+,"Known as ""The American Jack the Ripper""; murdered and mutilated three women and one man; Canadian and US authorities also investigated him as a suspect in a total of ten murders, but he died before any of these claims could be confirmed.[319]"
Angus Sinclair,United Kingdom,"1961, 1967–1982",4,10,"Scottish man who was originally convicted of murdering a 7-year-old girl when he was 16. As well as being convicted of the murders of three women in 1977 and 1978, police suspect he was responsible for four other murders of women in Glasgow in these years.[320] Also a suspect in two other murders in 1970 and 1979 respectively.[321][322]"
John Cooper,United Kingdom,1985–1998,4,9,"Psychopathic Welsh burglar who was convicted in 2011 of the double shotgun murders of a couple on the Pembrokeshire coast in 1989 and another during a botched burglary nearby in 1985. Police believed he killed at least one other woman in 1989, and investigated the possibility he could also have been responsible for another double shotgun murder in Bridgend in 1993. A forensic pathologist also claimed to police that he could have been responsible for two murders of elderly siblings in Pembrokeshire in 1976.[323][324][325]"
Oba Chandler,United States,1989–1990,4,4+,"Convicted for the June 1989 murders of Joan Rogers and her two daughters, whose bodies were found floating in Tampa Bay, Florida with their hands and feet bound. Autopsies showed the victims had been thrown into the water while still alive, with ropes tied to a concrete block around their necks. Chandler was executed in 2011. In February 2014, DNA evidence also identified Chandler as the murderer of Ivelisse Berrios-Beguerisse, who was found dead in Coral Springs, Florida, on November 27, 1990."
Dallen Bounds,United States,1999,4,4+,"Murdered a Radio Shack manager, and a florist at their respective places of business. Then murdered two acquaintances before taking two others hostage and committing suicide. Suspected of additional murders in the Pacific Northwest."
Robert Mone,United Kingdom,1967–1976,4,4,Scottish man who shot dead a teacher at his former school in Dundee in 1967. Later escaped from a secure hospital in 1976 and killed three more.[326]
Jerry Brudos,United States,1968–1969,4,4,"Brudos was a necrophiliac who had a fascination with women's shoes, and would often dress his victims' corpses in women's clothing.[327]"
Robert Maudsley,United Kingdom,1974–1978,4,4,"Sentenced to life without parole in 1974 for murdering a man who had shown him pictures of young boys he had sexually abused. Subsequently, killed another child sex offender in Broadmoor high-security hospital and two more, including a child sex offender, in prison. Has been held in solitary confinement since 1983."
Aalt Mondria,Netherlands,1978–1997,4,4,"Dutch criminal and serial killer who committed four murders and was responsible for a large number of assaults. Mondria was considered extremely violent and aggressive. After a notorious murder of his girlfriend's 10-year-old son, he was sentenced to 18 years imprisonment in 1998, after initially receiving life imprisonment for three murders in 1978, for which he also received 15 years imprisonment."
Tsutomu Miyazaki,Japan,1988–1989,4,4,Japanese man who murdered four young girls between August 1988 and June 1989 popularly known as the Otaku Killer. He was active in Tokyo and Saitama Prefecture.
Cody Legebokoff,Canada,2009–2010,4,4,"Canadian serial killer convicted in 2014 by the British Columbia Supreme Court of murdering three women and one teenage girl, between 2009 and 2010, in or near the city of Prince George, British Columbia. He is one of Canada's youngest convicted serial killers."
Stephen Port,United Kingdom,2014–2015,4,4,"Nicknamed ""The Grindr Killer"", Port met his victims via online gay social networks. He used gamma-Hydroxybutyric acid (GHB), a date rape drug, adding it to drinks given to his victims, raped them, and murdered four of them in his flat in Barking, east London."
Seminole Heights serial killer,United States,2017,4,4,"A serial killer who is believed to have murdered four people in the Seminole Heights neighborhood of Tampa, Florida, in October and November 2017. All four victims were shot dead seemingly at random. Howell Donaldson was indicted on the charges on December 7, 2017. He pleaded not guilty to all charges five days later. On January 23, 2018, Hillsborough State Attorney Andrew Warren announced that the state would seek the death penalty against Donaldson.[328] On May 1, 2023, Donaldson pleaded guilty in the murders and was sentenced to four consecutive life sentences without parole.[329][330]"
Albert Fish,United States,1924–1932,3,9–100+,American serial killer and child rapist who confessed to three murders for which he was convicted and sentenced to death.[331]
Robert Ben Rhoades,United States,1989–1990,3,50+,Convicted of murdering three women in Texas and Illinois between 1989 and 1990. Sentenced to life imprisonment.[332]
Peter Tobin,United Kingdom,1991–2006,3,48,"Scottish rapist and serial killer known to have killed at least three young women. Was also previously a suspect in the Bible John murders committed in Glasgow during the late 1960s, although police have now dismissed the theory.[333][334]"
Pedro Padilla Flores,Mexico,1986,3,30,Killed three women in 1986; fled to the US but recaptured and deported back to Mexico; main suspect in the Ciudad Juárez Murders.[335]
Stephen Morin,United States,1981,3,30[336],Convicted of murdering three women within a period of five weeks in 1981. Sentenced to the death penalty.[337]
Dorothea Puente,United States,1982–1988,3,9–25,Ran a boarding house in Sacramento where she poisoned tenants and buried them in the yard in order to steal their social security checks.[338]
Billy Glaze,United States,1986–1987,3,20+,"Known as ""Butcher Knife Billy"". Killer convicted of raping and murdering three Native American prostitutes in Minneapolis in 1986 and 1987.[339]"
Sidney Cooke,United Kingdom,c. 1960–1989,3,20,"Described by The Guardian newspaper in 1999 as ""Britain's most notorious paedophile"", Cooke and his infamous paedophile ring were convicted of the murder of 14-year-old Jason Swift in 1984. They were also known by police to have been responsible for the abductions and murders of children Barry Lewis and Mark Tildesley. Cooke was the ringleader of the gang, who are believed to have murdered up to 20 children, possibly including Vishal Mehrotra and Martin Allen.[340][341]"
Bertha Gifford,United States,1909–1928,3,17,"Found not guilty by reason of insanity of three arsenic poisonings and suspected of 14 other killings, mostly children, in Missouri.[342]"
Bernhard Prigan,Allied-occupied Germany  West Germany,1947–1952,3,16,Killed women near highways; confessed to a total of 16 murders.[343]
Patrick Mackay[a],United Kingdom,1973–1975,3,13,"Burglar suspect of 12 violent murders during robberies, charged with five, convicted of three. The two other cases were left to lie on file, and proof was later found by police that he had killed one of these victims.[344] Confessed to police that he had killed 13 people.[345][344] Has been eligible for parole since 1995 and since 2017 has been held in an open prison with day release provisions.[346] Now known as 'David Groves'.[346]"
Koos Hertogs,Netherlands,1979–1980,3,12,"Dutch serial killer convicted of abducting, torturing, raping and killing three girls. Suspected of killing a further three to nine girls and young women in the 1970s."
Michael Gargiulo,United States,1993–2008,3,10,"Dubbed ""The Hollywood Ripper"", Gargiulo stabbed 3 women to death, and tried to kill a fourth woman. Sentenced to death in 2021 but still on death row."
Chisako Kakehi,Japan,2007–2013,3,10,"Poisoned her husband and two other men to death, but suspected in another seven deaths; sentenced to death.[347]"
Heriberto Seda,United States,1990–1996,3,8+,"Considered to be a copycat of the Zodiac Killer. Claimed to have killed people based on their zodiac signs, and only killed when certain star formations were out."
Anthony Hardy,United Kingdom,2002,3,8,"Known as the ""Camden Ripper"", killed and dismembered three prostitutes in Camden, London in 2002. Police believe he could be responsible for the murders of three other prostitutes in London in the 1990s and two others in Nottinghamshire. One other unsolved murder he was linked to was solved in 2011 when her former partner John Sweeney was convicted of her murder.[348][349][350]"
Stephen Griffiths,United Kingdom,2009–2010,3,6,"Known to have killed three prostitutes, but claimed to police to have killed 6.[351] Has been a suspect in one other murder.[352] Dubbed himself the ""Crossbow Cannibal"" as he killed his victims with a hammer and crossbow and then later ate parts of them.[353]"
Hans van Zon,Netherlands,1967,3,5+,"After the relationship between Hans van Zon and his girlfriend ended in April 1967, van Zon alleged that she continued to impose on him. To put an end to this, he went into her house and killed her with a self-made lead pipe. He also killed an 80-year-old shopkeeper, and a milkman in robberies. In addition to the murders he was tried for, van Zon was also suspected of several other murders, including the lust murder of Elly Segov in 1964 and the murder of the English homosexual film director Claude Berkeley in 1965."
Levi Bellfield,United Kingdom,2002–2004,3,5,"West London serial killer convicted of two fatal hammer attacks on women and the murder of Milly Dowler. Also a suspect in the murder of his childhood girlfriend Patsy Morris in 1980 and of another woman, Judith Gold, who was hit over the head in 1990.[354][355]"
Özkan Zengin,Turkey,2008,3,4,Slit the throats of three confirmed victims before dumping the bodies in wells. Reportedly confessed to an additional murder.[356]
Khalil Wheeler-Weaver,United States,2016,3,4,"American serial killer from Orange, New Jersey, Wheeler-Weaver lured his victims using dating apps and murdered three women and attempted to kill a fourth between August 2016 and November 2016. One of the victim's friends created a fake account and lured him to a meeting before notifying police.[357]"
François Vérove,France,1986–1994,3,3–9+,"Nicknamed ""Le Grêlé"" (""the pockmarked man""), Verove a former police officer is blamed for four murders and a series of rapes since 1986. His confessed was found on his suicide note alongside body after he committed suicide in 2021. The crimes include the 1986 murder of an 11-year-old child, Cécile Bloch, in Paris.[358][359]"
John Martin,United Kingdom,1995,3,3+,"(Birth name John Martin Scripps, alias Simon James Davis) While on the run after escaping Britain, Martin killed at least three tourists between 8 and 14 March 1995 and robbed them of their possessions and money: one in Singapore and two in Thailand. He also dismembered their bodies and dumped them in various areas, such as the sea or abandoned places. Martin was also alleged to have killed at least three more people in other countries, such as the US, but these were unconfirmed. He was arrested in Changi Airport when he returned to Singapore on 19 March 1995, and was charged with murder. Martin was found guilty of the one murder he committed in Singapore and thus sentenced to death in November 1995. Martin was executed on 19 April 1996, after he declined to appeal against his sentence.[360]"
Harvey Carignan,United States,1949–1974,3,3+,"Serving a life sentence at the Minnesota Correctional Facility – Faribault for the murders of two women. He had been previously convicted for a 1949 rape and murder he committed while stationed in the U.S. Army, in Anchorage, Alaska."
John Joubert,United States,1982–1983,3,3+,Joubert killed a young boy in Maine and two boys in Nebraska. He was executed by the State of Nebraska in 1996.
"""Bible John""",United Kingdom,1968–1969,3,3,"Unidentified serial killer who murdered three women in Glasgow, Scotland.[361] Convicted serial killer Peter Tobin was suspected in the murders, but has since been eliminated as a suspect.[334]"
Leonarda Cianciulli,Italy,1939–1940,3,3,"Murdered three women in the town of Correggio, Reggio Emilia, and turned their bodies into soap and cakes.[362]"
Sharon Kinne,United States,1960–1964,3,3,Sociopathic serial killer that murdered romantic partners with a handgun. Currently still at large since her escape from prison in 1969.
Ted Kaczynski,United States,1978–1995,3,3,"Domestic terrorist and serial bomber known as the ""Unabomber"", Kaczynski was responsible for more than two dozen bombings of universities and one airline bombing from 1978 to 1996, justified by Kaczynski by his philosophy that technological advancements would destroy humanity. Arrested in 1996 due to his brother David recognizing the then unidentified Unabomber's manifesto titled Industrial Society and Its Future as the work of Kaczynski. Currently imprisoned at ADX Florence.[363]"
Leon Dorsey,United States,1994,3,3,"Murdered three people from 4 April-11 September 1994. He was serving 60 years for the murder of an Ellis County convenience store employee when surveillance camera footage linked him to the murders of two other people. He was convicted and sentenced to death in June 2000, and executed on 12 August 2008."
Ronald Jebson,United Kingdom,1970-1974,3,3,"Jebson, a prolific child molester, was convicted of raping and killing the eight-year-old daughter of acquaintances in 1974. While serving his sentence he pled guilty to molesting and murdering two other children, Susan Blatchford and Gary Hanlon, in 1970."
Larry Hall,United States,1980–1994,2,50+,"Hall traveled around the American Midwest as part of his interest in historical reenactments, which he would also use as a cover for stalking, raping, and murdering teenage girls. It is believed his first murders were committed when he was 18 years old. Although he was convicted of kidnapping 15-year-old Jessica Roach, Hall has never been charged with murder. Authorities have tied 15 murders to Hall, though only been able to confirm two, he has admitted to (and recanted) committing 39, though the FBI believes he could have committed as many as 50 in at least three states.[364]"
Harold Shipman,United Kingdom,1975–1998,218,250[365],"Convicted of 15 murders and responsible for the deaths of 218 patients identified by inquiry, but is believed to have killed around 250 people.[366][367] He injected diamorphine into his patients and then falsified the medical records, reporting that his patient had been in poor health. Hanged himself in prison."
Niels Högel,Germany,1999–2005,85+,300[368],"Nurse who was sentenced to life imprisonment for the murder of more than 85 people.[369][370] In November 2017, German prosecutors said that the number of victims was at least 106,[371] with Högel admitting, in October 2018, to murdering 100 patients.[13] By May 2019, he was believed to be the most prolific serial killer in peacetime Germany with up to 300 victims over fifteen years.[368]"
Baba Anujka,Kingdom of Yugoslavia,c.1890s–1928,50,150,"Anujka was an accomplished amateur chemist from the village of Vladimirovac, Yugoslavia (modern day Serbia). She poisoned at least 50 people and possibly as many as 150 in the late 19th and early 20th centuries. Was sentenced to 15 years in prison in 1929 but released after eight years due to old age.[372]"
Louay Omar Mohammed al-Taei,Iraq,2005–2006,43,Unconfirmed,"Medical doctor found to have killed 43 wounded policemen, soldiers and officials in Kirkuk; was a member of an insurgent cell.[373]"
Donald Harvey,United States,1970–1987,37,57–87,Self-professed Angel of Death. Worked as an orderly in Cincinnati-area hospitals and preyed on his patients. Claimed to have killed 87 patients starting at age 18. Active 1970–1987. Sentenced to 28 life sentences in Ohio.[374]
Jane Toppan,United States,1885–1901,31,Unconfirmed,Nurse that confessed to poisoning 31 patients. Found not guilty by reason of insanity and interned in a mental institution until her death in 1938.[375]
Charles Cullen,United States,1988–2003,29,400+,"Nurse in New Jersey and Pennsylvania who murdered at least 29 patients between 1988 and 2003, but experts believe the number could be as high as 400. Cullen has admitted to more murders, which authorities believe are likely, but the murders cannot be verified due to lack of records.[376]"
Stephan Letter,Germany,2003–2004,29,29+,Nurse who killed 29 patients; sentenced to life imprisonment in 2006.[377]
Anders Hansson,Sweden,1978–1979,27,Unconfirmed,"A Nurse Aide who poisoned victims with gevisol and ivisol. His actions were called ""The Hospital Murders"" (Swedish: Sjukhusmorden).[378]"
Marcel Petiot,France,1926–1944,26,63,Active 1926 and from 1942 to 1944. Petiot is suspected of having killed up to 63 in total. Executed in 1946.[379]
Arnfinn Nesset,Norway,1983 and earlier,22,27–138+,"Norwegian nurse and most prolific known serial killer in Scandinavian history, convicted in 1983 of poisoning at least 22 patients with Curacit; however he initially confessed to 27 murders; later he retracted his confessions and claimed he had killed 138 patients. Was released from prison in 2004 after serving 21 years, the maximum punishment possible by Norwegian law.[380]"
Roger Andermatt,Switzerland,1995–2001,22,22,"Known as the ""Death-Keeper of Lucerne""; nurse who killed 22 patients; most prolific Swiss serial killer in history; sentenced to life imprisonment.[381]"
Maxim Petrov,Russia,2000–2002,12,19,Doctor who killed his patients in St. Petersburg. Suspected of 19 murders.[382]
Ann Arbor Hospital Killer,United States,1975,10,10,Poisonings of 10 patients at the Veteran's Administration Hospital in 1975. Filipino nurses Filipina Narciso and Leonora Perez were tried for the crimes.[383]
Ludivine Chambet,France,2012–2013,10,10,"Known as ""The Poisoner of Chambéry""; nurse's aide who poisoned elderly patients; sentenced to 25 years imprisonment.[384]"
Petr Zelenka,Czech Republic,2006,7,21[385],Killed his victims with a lethal injection of heparin from May to September 2006. Ten people survived his murder attempt. Suspected of up to 14 additional murders.
Orville Lynn Majors,United States,1993–1995,6,130,"LPN in Vermillion County Ind., Preyed on elderly patients—thought to have killed many of them with injections of potassium chloride. Sentenced to 360 years in Indiana.[386]"
Efren Saldivar,United States,1989–1997,6,50+,"Respiratory therapist who killed six patients, possibly as many as 120.[387]"
Christine Malèvre,France,1998 and earlier,6,30,"Nurse who killed terminally ill patients claiming that they had asked her to help them die, something denied by their families. Sentenced to 12 years in prison for six murders and suspect of 30.[388]"
Antoinette Scieri,France,1924–1925,6,12+,Nurse who poisoned her elderly patients. Death sentence was commuted to life in prison and she died in prison.[389]
Ahmad Ahmadi,Imperial State of Iran,1931–1944,6,Unconfirmed,Responsible for killing political prisoners at Qasr prison during the reign of Reza Shah.
Frans Hooijmaijers,Netherlands,1970–1975,5,259,"Nurse who was convicted for killing five patients at a hospital in Kerkrade, the Netherlands from 1970 to 1975, but was suspected to have killed approximately 259 people."
Miyuki Ishikawa,Japan,1946–1948,5,84,"Killed 84 newborn children at maximum. As a midwife, she killed infants born to parents unwilling to care for them during the prohibition of abortion in Japan.[390] Arrested in 1948, and sentenced to four years imprisonment in 1953 as final decision.[391]"
Kristen Gilbert,United States,1990–1996,5,70+,"Nurse at a Massachusetts Veterans Medical Center who injected male patients with epinephrine, causing heart attacks. Sentenced to life without parole.[392]"
Amy Archer-Gilligan,United States,1910–1917,5,48+,"A nursing home proprietor believed to have poisoned as many as 60 patients from her homes and her second husband. Charged with five murders originally, this was lowered to just one following her admission of guilt, and was found guilty of second degree murder. Died in a mental hospital in 1962.[393]"
Sonya Caleffi,Italy,2003–2004,5,18,Nurse who poisoned terminally-ill patients; sentenced to 20 years imprisonment.[394]
Michael Swango,United States  Zimbabwe,1981–1997,4,35–60+,Medical Doctor who killed patients.[395]
Kermit Gosnell,United States,1989?–2010,4,100+,"Gosnell, who ran an abortion clinic, was charged with eight and convicted of four murders. Three babies were born alive, then killed by cutting the infant's spine with scissors. One mother died due to complications. Testimony indicated hundreds of similar procedures carried out by Gosnell and his staff."
Edson Izidoro Guimarães,Brazil,1999 and earlier,4,131,"Nurse who injected patients with potassium chloride or removed their oxygen mask. Confessed to five murders which he claimed to be mercy killings and was convicted of four in 2000; sentenced to 76 years in prison. He may have killed as many as 131 patients for money, as he was paid $60 for informing local funeral homes of a patient's death so that they could contact the deceased's relatives first.[396]"
Richard Angelo,United States,1987,4,25,"Known as ""The Angel of Death"". New York nurse convicted of four murders, linked to six other deaths. Suspected of killing up to 25 people.[397]"
Colin Norris,United Kingdom,2002,4,18,"Convicted of murdering four elderly women and attempting to murder another in two Leeds hospitals during 2002 while working as a nurse. He had injected the women, who were only in hospital due to broken hips, with massive overdoses of insulin. He was sentenced to life imprisonment with a minimum term of 30 years in 2008.[398]"
Beverley Allitt,United Kingdom,1991,4,Unconfirmed,Convicted of murdering four children and attacking another six in the Lincolnshire hospital where she worked as a nurse. Given 13 life sentences.[399]
Andrés Ulises Castillo Villarreal,Mexico,2009–2015,3,12+,"Known as ""The Chihuahua Ripper""; drugged, raped and then killed men in Chihuahua; sentenced to 120 years imprisonment.[400]"
Elfriede Blauensteiner,Austria,1981–1995,3,10+,"Known as ""The Black Widow""; poisoned people for material gain; died from a brain tumor in 2003.[401]"
Benjamin Geen,United Kingdom,2003–2004,2,12,"Nurse convicted in 2006 of murdering two patients and causing grievous bodily harm to another 15 at Horton General Hospital in Banbury, Oxfordshire between 2003 and 2004.[402] Induced illness in the patients with overdoses of drugs, in order to enjoy the 'thrill' of resuscitating them.[403] Given 17 life sentences and ordered to serve at least 30 years imprisonment.[404] 9 other cases were originally investigated.[403]"
Victorino Chua,United Kingdom,2011,2,5,Poisoned several patients at Stepping Hill Hospital with Insulin.
Murder Incorporated,United States,1920s–1940,400,1000+,"Murder Incorporated or Murder Inc. for short was a large criminal enterprise of small contract-killing groups that were collectively known as Murder Inc. Run by Albert ""The Mad Hatter"" Anastasia and his close associates, the organization was responsible for the assassinations of key witnesses of early Cosa Nostra activities, so as to make them 'disappear' and break the case against the lead mobsters whenever they went to trial. In 1941 the group was exposed by former member Abe ""Kid Twist"" Reles and subsequently ceased to exist."
